land_use_code,sic_code,Notes,links
B2,32,multiple options available,https://onsdigital.github.io/dp-classification-tools/standard-industrial-classification/ONS_SIC_hierarchy_view.html
B8,52,multiple options available,https://www.planningportal.co.uk/permission/common-projects/change-of-use/use-classes
C1,55,clear option,
C2,87,closest option available,
C2A,87,closest option available,
C3(a),97,closest option available,
C3(b),97,closest option available,
C3(c),97,closest option available,
C4,97,closest option available,
E(a),46,clear option (assumes site is not selling vehicles),
E(b),56,clear option,
E(c)(i),64,one of two options,
E(c)(ii),74,multiple options available,
E(c)(iii),74,multiple options available,
E(d),93,clear option,
E(e),86,clear option,
E(f),88,clear option,
E(g)(i),78,fairly certain,
E(g)(ii),72,one of two options,
E(g)(iii),32,multiple options available,
F1(a),85,clear option,
F1(b),90,clear option,
F1(c),91,clear option,
F1(d),91,clear option,
F1(e),91,closest option available,
F1(f),91,clear option,
F1(g),84,clear option,
F2(a),46,clear option (assumes site is not selling vehicles),
F2(b),91,closest option available,
F2(c),93,clear option,
F2(d),93,clear option,
SG,56,covers many categories,
brownfield,,raise error if this exists,
greenfield,,raise error if this exists,
